172.16.133.207,68.64.21.45,,1853,,50477
172.16.133.75,157.56.241.150,443,,58186,
172.16.133.99,216.115.216.44,443,,51685,
172.16.133.99,216.219.115.17,443,,51686,
172.16.133.99,64.74.80.15,443,,51683,
68.64.21.42,172.16.133.56,,49514,,1853
68.64.21.62,172.16.133.57,,53807,,1853
172.16.133.99,216.115.217.144,443,,51687,
172.16.133.36,68.64.21.42,,1853,,62603
172.16.133.36,216.115.219.126,443,,65067,
172.16.133.20,172.16.139.250,5440,,62286,
172.16.133.20,172.16.139.250,5440,,62286,
68.64.21.45,172.16.133.118,,56495,,1853
172.16.133.20,172.16.139.250,5440,,62286,
172.16.133.20,172.16.139.250,5440,,62286,
172.16.133.103,66.151.158.187,443,,63407,
172.16.133.103,216.219.112.250,443,,63408,
68.64.28.108,172.16.133.47,,51445,,8200
68.64.28.70,172.16.133.49,,58247,,8200
172.16.133.76,5.79.25.106,443,,60548,
172.16.133.60,67.217.64.49,443,,62038,
172.16.133.20,172.16.139.250,5440,,62286,
172.16.133.20,172.16.139.250,5440,,62286,
172.16.133.37,96.43.146.48,443,,49741,
